Ballot Number,PC Code/ رمز مركز الانتخاب,Station,Gender,Name PC,Office/ الللجنة الانتخابية ,Office #/ الللجنة الانتخابية #,Bar Code Number,Serial Number
52,31031,03,Female,مدرسة الشهيد بوعطيوة,طبرق,12,310310352,52000930
35,31031,03,Female,مدرسة الشهيد بوعطيوة,طبرق,12,310310335,35000245
3,11070,02,Female,الجيل الجديد,سرت,1,110700203,03000159
1,11036,02,Female,السلام,سرت,1,110360201,01000227
8,14075,05,Female,وجدة,طرابلس,4,140750508,08000537
48,14075,05,Female,وجدة,طرابلس,4,140750548,48000537
